Customer_ID,longitude,latitude,store1_valuation,store2_valuation,store3_valuation,store4_valuation,store5_valuation,store6_valuation,store7_valuation,store8_valuation,store9_valuation,store10_valuation,store11_valuation,store12_valuation,store13_valuation,store14_valuation,store15_valuation
33,31.24242,30.04239,0.22327,0.37975,0.34571,0.34013,0.98606,0.44442,0.8476,0.86102,0.21396,0.39258,0.56183,0.33668,0.08537,0.47874,0.46913
34,31.2548,30.05555,0.53953,0.0126,0.93164,0.00302,0.67136,0.12359,0.46171,0.67575,0.42645,0.48912,0.52891,0.48061,0.29468,0.56879,0.52829
35,31.29438,30.08331,0.01916,0.77922,0.49394,0.31302,0.26178,0.75386,0.87625,0.47778,0.80395,0.4049,0.61564,0.09741,0.89669,0.55148,0.31279
36,31.2052,30.04923,0.84043,0.22395,0.36715,0.66143,0.79388,0.89773,0.79564,0.49741,0.09094,0.62729,0.06801,0.71051,0.6281,0.60206,0.76981
37,31.29906,30.00556,0.15883,0.85307,0.09857,0.25265,0.63285,0.28104,0.8632,0.74179,0.26973,0.11052,0.51951,0.18202,0.33253,0.54215,0.96207
38,31.28628,30.07681,0.72731,0.42058,0.06569,0.11579,0.77302,0.65694,0.99405,0.04263,0.74511,0.50832,0.28545,0.82105,0.61405,0.26242,0.04391
39,31.25,30.01891,0.01481,0.66428,0.03752,0.71394,0.70118,0.84166,0.35081,0.67881,0.49241,0.496,0.82688,0.71514,0.7439,0.06531,0.52006
40,31.24904,30.01051,0.55806,0.01735,0.89969,0.96445,0.9211,0.37626,0.91283,0.24048,0.6905,0.56612,0.83276,0.8713,0.16993,0.64881,0.22675
41,31.26448,30.08823,0.61073,0.93556,0.11292,0.33454,0.90923,0.2211,0.5872,0.04592,0.26261,0.16309,0.80776,0.49808,0.62778,0.46736,0.53748
42,31.26118,30.02197,0.13999,0.27929,0.37242,0.6139,0.94451,0.01437,0.98766,0.98094,0.7181,0.06717,0.26775,0.48208,0.64293,0.08421,0.11935
43,31.27713,30.08242,0.95746,0.30936,0.70294,0.8186,0.10738,0.71822,0.44315,0.62767,0.19697,0.55836,0.01578,0.37928,0.40765,0.05903,0.07383
44,31.21837,30.08496,0.81393,0.81707,0.85685,0.04302,0.88471,0.70941,0.6485,0.89692,0.05387,0.01087,0.07562,0.24293,0.55623,0.30706,0.59917
45,31.2785,30.03354,0.05926,0.31886,0.49096,0.97483,0.46882,0.15316,0.26071,0.57949,0.24696,0.31551,0.46023,0.99575,0.59483,0.93943,0.13568
46,31.2494,30.07567,0.10096,0.99573,0.35617,0.545,0.06323,0.28801,0.05778,0.39878,0.72581,0.49995,0.40113,0.27137,0.51584,0.13628,0.56596
47,31.20303,30.01701,0.01475,0.02299,0.8053,0.91282,0.53376,0.2618,0.34026,0.66498,0.23961,0.66664,0.71377,0.83787,0.69121,0.49197,0.01176
48,31.26089,30.08426,0.12332,0.83264,0.4184,0.17162,0.41198,0.2866,0.60069,0.52841,0.21165,0.6895,0.78804,0.14718,0.85757,0.47231,0.58689
49,31.28371,30.05104,0.59459,0.69785,0.7586,0.03337,0.89339,0.71753,0.01422,0.61062,0.09425,0.8236,0.85354,0.64741,0.42583,0.32317,0.66408
50,31.24094,30.01242,0.75415,0.92321,0.06142,0.97437,0.12501,0.65704,0.68033,0.06303,0.92936,0.80051,0.62395,0.84796,0.76107,0.56316,0.56189
51,31.26807,30.05091,0.61094,0.65055,0.64419,0.92904,0.82606,0.65087,0.93741,0.02869,0.99396,0.0735,0.89186,0.82301,0.25314,0.0924,0.01409
52,31.23004,30.0684,0.38964,0.02116,0.84518,0.73776,0.63229,0.40831,0.92991,0.05297,0.89378,0.50314,0.73693,0.91744,0.93044,0.05298,0.0738
53,31.25902,30.00559,0.04973,0.77653,0.91487,0.63557,0.47555,0.39858,0.38694,0.2151,0.54975,0.72304,0.13963,0.72291,0.57348,0.4064,0.12664
54,31.28513,30.057,0.97686,0.85611,0.16834,0.37046,0.87807,0.8581,0.33546,0.74811,0.5409,0.65372,0.3961,0.40936,0.6798,0.57365,0.26649
55,31.27747,30.07914,0.63247,0.0092,0.93757,0.52779,0.94821,0.00166,0.32266,0.76253,0.40261,0.58298,0.46556,0.68072,0.6886,0.10693,0.32457
56,31.20303,30.09642,0.66844,0.93394,0.46416,0.59254,0.1733,0.16802,0.79518,0.1365,0.53871,0.72579,0.12776,0.13049,0.09834,0.91026,0.82959
57,31.27934,30.01524,0.90544,0.48956,0.88615,0.39163,0.5228,0.28973,0.52176,0.64304,0.59265,0.4464,0.4159,0.33666,0.29624,0.24452,0.70115
58,31.21099,30.02861,0.37557,0.11273,0.69087,0.7362,0.92078,0.36994,0.42953,0.3854,0.26715,0.30701,0.13726,0.67158,0.93199,0.76739,0.92724
59,31.24964,30.0706,0.83882,0.30393,0.81457,0.46713,0.76198,0.27734,0.95635,0.86924,0.80851,0.96024,0.0983,0.80887,0.28955,0.96168,0.31752
60,31.26775,30.08095,0.04124,0.39156,0.74948,0.40352,0.64408,0.26358,0.16241,0.79844,0.64805,0.52854,0.66054,0.54444,0.24113,0.39442,0.50087
61,31.28114,30.05855,0.05566,0.45961,0.52614,0.75617,0.11137,0.0809,0.17309,0.61083,0.60911,0.75304,0.25593,0.88049,0.93496,0.48727,0.66231
62,31.26777,30.00992,0.11857,0.63067,0.34299,0.91028,0.25376,0.43752,0.31673,0.78592,0.13289,0.43118,0.83325,0.90665,0.8759,0.99931,0.22129
63,31.23868,30.00242,0.80262,0.02029,0.02256,0.38045,0.40624,0.9583,0.71941,0.32643,0.76024,0.57729,0.20126,0.07559,0.99618,0.20433,0.89992
64,31.26626,30.04882,0.6036,0.67649,0.35627,0.05603,0.68705,0.13222,0.50937,0.73249,0.34168,0.47395,0.51152,0.31744,0.74065,0.29199,0.42837
65,31.27059,30.04223,0.59381,0.9237,0.64549,0.13949,0.81116,0.91226,0.75516,0.28131,0.65629,0.86135,0.77985,0.23496,0.08365,0.46443,0.31115
66,31.22852,30.08181,0.13105,0.27136,0.36755,0.96077,0.1387,0.62179,0.09665,0.62639,0.88699,0.19783,0.71743,0.47496,0.86231,0.65014,0.7247
67,31.26676,30.01343,0.31897,0.70233,0.7264,0.82343,0.4411,0.59951,0.38324,0.72677,0.80475,0.0473,0.89661,0.23277,0.31354,0.10703,0.66669
68,31.24391,30.05724,0.10423,0.17448,0.81562,0.36251,0.0597,0.20102,0.80479,0.82664,0.85917,0.25825,0.83271,0.62548,0.36026,0.94236,0.56065
69,31.28909,30.05299,0.96758,0.72157,0.33134,0.93284,0.28379,0.84526,0.24828,0.26171,0.36586,0.25808,0.83062,0.85048,0.47401,0.71658,0.02484
70,31.2179,30.05702,0.30519,0.46201,0.837,0.68084,0.23681,0.63024,0.60969,0.39527,0.03767,0.5893,0.40052,0.30827,0.86753,0.03693,0.26679
